pathway	E1	E3	E4	E5	NS1	NS2	NS3	NS4	NS5	NS6	QS1	QS2	QS3	QS4	QS5	QS6	QS7	QS8	S1	S10	S14	S2	S3	S5	S6	S8	S9
PWY-6895	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.400000000000000	0.0	0.0	0.0	0.0	8.78048780487805	0.0	0.0
PWY-6897	124.39837398374000	39.76271186440680	25.0	26.818496638826600	236.00000000000000	215.69954476479500	102.34165366614700	9.6	384.9432379072060	361.28185907046500	430.69915436434000	258.38471023427900	207.47559297601900	214.00000000000000	51.0	50.25	163.70414201183400	392.1907975460120	6.0	14.400000000000000	57.0	46.0	1.0	0.0	9.0	0.0	0.0
PWY-6969	239.48477521080200	0.0	0.0	35.972851452016500	424.251484209622	363.2825521088990	165.72262267759000	0.0	671.7378087020010	615.0990353443030	724.1631577853720	445.7432158190150	362.0938878861900	382.03022347023100	92.03007518796990	83.74800317813730	266.71450107043000	692.9143274968570	0.0	0.0	102.85714285714300	77.16252868766950	1.8045112781954900	0.0	9.561752988047810	0.0	0.0
PWY-7007	0.0	0.0	0.0	20.64516129032260	0.0	22.16676188038920	23.204621189731200	0.0	31.24048316676670	53.58297016426420	140.37518411030600	39.91664861237600	15.610331444996100	0.0	0.0	0.0	28.300053966540700	51.94360494822290	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-7013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	108.58048373644700	0.0	35.38167938931300	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0
PWY-7094	189.90120744181600	0.0	0.0	28.744005184705100	512.4953136055870	371.5807810579520	190.1826559916480	0.0	781.6996702360730	737.6241948269250	830.2111438655400	483.5772993892710	389.1940920783150	446.8943028974020	111.56250000000000	83.71388523030040	295.83711033036900	818.2896202285160	0.0	0.0	124.68750000000000	50.067280587161600	2.1875	0.0	0.0	0.0	0.0
PWY-7111	286.18071326961000	42.675862068965500	30.769230769230800	97.88790560471980	414.4932094353110	420.2503584310530	158.4885283559610	9.142857142857140	726.9220608537650	575.4141305185300	863.654937466077	487.57371001969400	411.2104567907700	354.6663159767620	85.0	80.73372128505890	255.72279698407600	731.7941625855010	0.0	13.714285714285700	95.00000000000000	125.21739130434800	1.6666666666666700	0.0	13.714285714285700	0.0	0.0
PWY-7184	96.73666968136740	43.987500000000000	28.125	56.77830100708690	0.0	83.24162615846470	61.51272025884180	9.0	100.93010367050300	125.01261670451700	126.16481950784500	95.09613237637690	39.064617646726300	40.13225156187240	0.0	33.58608678552450	101.6047430787050	23.873164749338900	0.0	13.5	0.0	0.0	0.0	0.0	10.8	0.0	0.0
PWY-7187	79.29530685920580	42.967032967033000	25.0	47.04436409150960	0.0	51.99172683673800	37.55278988495410	8.0	65.75288944215850	46.02076124567470	79.2941763391554	44.84915529650760	29.6531170909281	20.913975226436400	0.0	27.243254806577200	70.5649857235999	17.824754281221600	0.0	12.000000000000000	0.0	0.0	0.0	0.0	8.571428571428570	0.0	0.0
PWY-7196	106.47341221504600	27.184991033246000	0.0	0.0	59.23853049745120	140.08828008160500	0.0	0.0	145.64232818929900	0.0	60.39122299198630	96.38375387821520	107.70107304665800	23.328000269913900	0.0	0.0	0.0	46.289486437281400	0.0	0.0	0.0	51.13816834303860	0.0	0.0	0.0	0.0	0.0
PWY-7197	160.73765093304100	39.100000000000000	25.0	56.261538461538500	268.28232354778300	237.2342683851400	110.63520000000000	8.0	429.46	397.01492537313400	468.41518987341800	287.4329958308520	232.5538490007400	243.7384196185290	58.28571428571430	56.31190476190480	178.4597014925370	440.7633845001870	0.0	12.0	65.14285714285720	49.91093117408910	1.1428571428571400	0.0	12.0	0.0	0.0
PWY-7199	80.52961672473870	23.657142857142900	0.0	28.758936755270400	0.0	89.09670394932200	56.60099321936780	0.0	115.78461538461500	137.40356083086100	142.24937810516700	104.59842519685000	47.11462715033560	48.566282420749300	0.0	29.80576504605480	92.69616689525730	30.77845777233780	6.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0
PWY-7200	112.65131230870000	26.932349323493200	0.0	35.49192423665800	0.0	137.3731274226490	76.46930387711840	0.0	198.72700979457800	216.80749886696000	234.968455902788	164.32925160000200	86.42434408094480	89.48341050327870	0.0	40.30648666607050	124.88911039760800	65.6993626241901	0.0	0.0	0.0	0.0	0.0	0.0	9.333333333333330	0.0	0.0
